"","SampleID","Id","species","group","Latitude","Longitude"
"7537","MEB",0,"Polyommatus_sp","Polyommatus",34.99,24.53
"7538","MEB",0,"Polyommatus_sp","Polyommatus",35,25.08
"7539","150308PP10",2,"Polyommatus_icarus","Polyommatus",35.01,25.63
"7540","RV",0,"Polyommatus_sp","Polyommatus",35.01,25.63
"7541","MEB",0,"Polyommatus_sp","Polyommatus",35.43,24
"7542","MEB",0,"Polyommatus_sp","Polyommatus",35.44,23.48
"7543","MEB",0,"Polyommatus_sp","Polyommatus",35.44,24.52
"7544","MEB",0,"Polyommatus_sp","Polyommatus",35.45,25.07
"7545","MEB",0,"Polyommatus_sp","Polyommatus",35.46,25.62
"7546","RV",0,"Polyommatus_sp","Polyommatus",35.47,26.17
"7547","RVcoll11H644",1,"Polyommatus_celina","Polyommatus",35.52,12.56
"7548","Bib",0,"Polyommatus_sp","Polyommatus",35.87,12.86
"7549","RVcoll12L799",1,"Polyommatus_celina","Polyommatus",35.89,-5.49
"7550","MEB",0,"Polyommatus_sp","Polyommatus",35.89,-5.49
"7551","RVcoll11J508",2,"Polyommatus_icarus","Polyommatus",35.92,27.28
"7552","RVcoll11E102",1,"Polyommatus_celina","Polyommatus",35.92,14.17
"7553","MEB",0,"Polyommatus_sp","Polyommatus",35.92,14.17
"7554","MEB",0,"Polyommatus_sp","Polyommatus",35.92,27.28
"7555","MEB",0,"Polyommatus_sp","Polyommatus",35.92,27.83
"7556","MEB",0,"Polyommatus_sp","Polyommatus",36.33,-6
"7557","RVcoll08L622",1,"Polyommatus_celina","Polyommatus",36.34,-5.51
"7558","MEB",0,"Polyommatus_sp","Polyommatus",36.34,-5.51
"7559","MEB",0,"Polyommatus_sp","Polyommatus",36.35,-4.95
"7560","MEB",0,"Polyommatus_sp","Polyommatus",36.35,22.95
"7561","RVcoll11J530",2,"Polyommatus_icarus","Polyommatus",36.37,27.84
"7562","MEB",0,"Polyommatus_sp","Polyommatus",36.37,27.84
"7563","RVcoll08H634",1,"Polyommatus_celina","Polyommatus",36.79,-5.52
"7564","MEB",0,"Polyommatus_sp","Polyommatus",36.79,-6.48
"7565","MEB",0,"Polyommatus_sp","Polyommatus",36.79,-5.52
"7566","MEB",0,"Polyommatus_sp","Polyommatus",36.8,-4.96
"7567","RVcoll11D133",1,"Polyommatus_celina","Polyommatus",36.8,12
"7568","RVcoll14G023",2,"Polyommatus_icarus","Polyommatus",36.81,22.4
"7569","RVcoll11D905",1,"Polyommatus_celina","Polyommatus",36.81,-4.4
"7570","MEB",0,"Polyommatus_sp","Polyommatus",36.81,-4.4
"7571","MEB",0,"Polyommatus_sp","Polyommatus",36.81,22.4
"7572","RVcoll11J497",2,"Polyommatus_icarus","Polyommatus",36.82,27.28
"7573","RVcoll06A035",1,"Polyommatus_celina","Polyommatus",36.82,-3.28
"7574","RVcoll16A527",1,"Polyommatus_celina","Polyommatus",36.82,15.28
"7575","RV",0,"Polyommatus_sp","Polyommatus",36.82,15.28
"7576","MEB",0,"Polyommatus_sp","Polyommatus",36.82,-3.84
"7577","MEB",0,"Polyommatus_sp","Polyommatus",36.82,-3.28
"7578","MEB",0,"Polyommatus_sp","Polyommatus",36.82,-2.16
"7579","MEB",0,"Polyommatus_sp","Polyommatus",36.82,21.84
"7580","MEB",0,"Polyommatus_sp","Polyommatus",36.82,27.28
"7581","MEB",0,"Polyommatus_sp","Polyommatus",37.23,-6
"7582","MEB",0,"Polyommatus_sp","Polyommatus",37.24,-5.54
"7583","RV",0,"Polyommatus_sp","Polyommatus",37.24,-6.46
"7584","RV",0,"Polyommatus_sp","Polyommatus",37.26,13.59
"7585","MEB",0,"Polyommatus_sp","Polyommatus",37.26,-7.59
"7586","MEB",0,"Polyommatus_sp","Polyommatus",37.26,-4.97
"7587","MEB",0,"Polyommatus_sp","Polyommatus",37.26,22.41
"7588","MEB",0,"Polyommatus_sp","Polyommatus",37.26,22.97
"7589","MEB",0,"Polyommatus_sp","Polyommatus",37.26,25.03
"7590","MEB",0,"Polyommatus_sp","Polyommatus",37.26,25.59
"7591","RV",0,"Polyommatus_sp","Polyommatus",37.26,-4.41
"7592","RVcoll08J968",2,"Polyommatus_icarus","Polyommatus",37.27,-3.28
"7593","RVcoll11I455",1,"Polyommatus_celina","Polyommatus",37.27,-3.28
"7594","RVcoll08R542",1,"Polyommatus_celina","Polyommatus",37.27,15.28
"7595","RV",0,"Polyommatus_sp","Polyommatus",37.27,14.15
"7596","RV",0,"Polyommatus_sp","Polyommatus",37.27,14.72
"7597","RV",0,"Polyommatus_sp","Polyommatus",37.27,15.28
"7598","MEB",0,"Polyommatus_sp","Polyommatus",37.27,-8.72
"7599","MEB",0,"Polyommatus_sp","Polyommatus",37.27,-8.15
"7600","MEB",0,"Polyommatus_sp","Polyommatus",37.27,-3.85
"7601","MEB",0,"Polyommatus_sp","Polyommatus",37.27,-3.28
"7602","MEB",0,"Polyommatus_sp","Polyommatus",37.27,-2.72
"7603","MEB",0,"Polyommatus_sp","Polyommatus",37.27,-2.15
"7604","MEB",0,"Polyommatus_sp","Polyommatus",37.27,21.85
"7605","RV",0,"Polyommatus_sp","Polyommatus",37.69,12.37
"7606","RVcoll12M386",1,"Polyommatus_celina","Polyommatus",37.71,13.58
"7607","RVcollLD2323",1,"Polyommatus_celina","Polyommatus",37.71,13.01
"7608","RVcoll090211SD56",1,"Polyommatus_celina","Polyommatus",37.71,-1.58
"7609","RV",0,"Polyommatus_sp","Polyommatus",37.71,13.01
"7610","RV",0,"Polyommatus_sp","Polyommatus",37.71,13.58
"7611","MEB",0,"Polyommatus_sp","Polyommatus",37.71,-7.58
"7612","MEB",0,"Polyommatus_sp","Polyommatus",37.71,-7.01
"7613","MEB",0,"Polyommatus_sp","Polyommatus",37.71,-4.99
"7614","MEB",0,"Polyommatus_sp","Polyommatus",37.71,-1.58
"7615","MEB",0,"Polyommatus_sp","Polyommatus",37.71,22.42
"7616","MEB",0,"Polyommatus_sp","Polyommatus",37.71,22.99
"7617","MEB",0,"Polyommatus_sp","Polyommatus",37.71,25.01
"7618","RVcoll12Q582",1,"Polyommatus_celina","Polyommatus",37.72,15.28
"7619","RVcoll11I086",1,"Polyommatus_celina","Polyommatus",37.72,14.72
"7620","RVcoll11H958",1,"Polyommatus_celina","Polyommatus",37.72,14.15
"7621","RVcoll12L164",1,"Polyommatus_celina","Polyommatus",37.72,-2.72
"7622","RV",0,"Polyommatus_sp","Polyommatus",37.72,14.15
